704006009080010000003020450000000002056000780100000000025030100000040060900500307 # 27 # 10 # 2022 # 001 # 2022-10-27 # 81 # 2022-10-27-SC--001 # SC #  # Cracking The Cryptic # Easy # 220 # 0:15:11 #  # FH NS
500260009730000041000000000300902004001000800200807005000000000940001056100039008 # 10 # 10 # 2019 # 04912 # 2019-10-10 # 81 # 2019-10-10-TG-TGH-04912 # TG # TGH # Telegraph # Medium # 326 #  #  # 
590001004000000600001890700008020070000904000070068900000089200002000000100200063 # 30 # 04 # 2009 # 01341 # 2009-04-30 # 81 # 2009-04-30-TG-TGH-01341 # TG # TGH # Telegraph # Medium # 330 #  #  # 
000030000130085002070006500000000078080000020690000001004807030200490017000020000 # 24 # 11 # 2010 # 01832 # 2010-11-24 # 81 # 2010-11-24-TG-TGH-01832 # TG # TGH # Telegraph # Medium # 330 #  #  # 
900000805200008004000000210600030008004106500700050009032000000400900003809700000 # 10 # 09 # 2015 # 03421 # 2015-09-10 # 81 # 2015-09-10-TG-TGH-03421 # TG # TGH # Telegraph # Medium # 330 #  #  # 
064801000109060807000000000006500090000208000040007100000000000001020604002109530 # 16 # 08 # 2017 # 04127 # 2017-08-16 # 81 # 2017-08-16-TG-TGH-04127 # TG # TGH # Telegraph # Medium # 330 #  #  # 
000090000250004063086100050102000000000040000000000809030001590510900234000030000 # 01 # 06 # 2019 # 04781 # 2019-06-01 # 81 # 2019-06-01-TG-TGH-04781 # TG # TGH # Telegraph # Medium # 330 #  #  # 
020009070030704050000050809008000000051020390000000100205040000000507080080100060 # 22 # 01 # 2022 # 05747 # 2022-01-22 # 81 # 2022-01-22-TG-TGH-05747 # TG # TGH # Telegraph # Medium # 330 #  #  # 
000007040500286001720004000003009600050000090007100500000400068600821007070600000 # 15 # 04 # 2009 # 01328 # 2009-04-15 # 81 # 2009-04-15-TG-TGH-01328 # TG # TGH # Telegraph # Medium # 332 #  #  # 
000600100400070092070000000004502000103000007009300200000000080560040009000005003 # 04 # 07 # 2013 # 02649 # 2013-07-04 # 81 # 2013-07-04-TG-TGH-02649 # TG # TGH # Telegraph # Medium # 332 #  #  # 
050060010000030007380000002000370200503908401009045000600000028400090000070080030 # 16 # 09 # 2020 # 05254 # 2020-09-16 # 81 # 2020-09-16-TG-TGH-05254 # TG # TGH # Telegraph # Medium # 332 #  #  # 
900010000005400000070000314500000801060020000103000009648000073000006100000070008 # 13 # 01 # 2011 # 01875 # 2011-01-13 # 81 # 2011-01-13-TG-TGH-01875 # TG # TGH # Telegraph # Medium # 334 #  #  # 
610980000000506040000000000002000480079000600061000200000000000080471000000859071 # 05 # 11 # 2015 # 03477 # 2015-11-05 # 81 # 2015-11-05-TG-TGH-03477 # TG # TGH # Telegraph # Medium # 334 #  #  # 
007000800500809704000500006430000000000600000100000089300095000604307005002000100 # 04 # 08 # 2016 # 03750 # 2016-08-04 # 81 # 2016-08-04-TG-TGH-03750 # TG # TGH # Telegraph # Medium # 334 #  #  # 
000006109007509002200000040000000078500090004680000000050000001400803500302100000 # 11 # 11 # 2017 # 04214 # 2017-11-11 # 81 # 2017-11-11-TG-TGH-04214 # TG # TGH # Telegraph # Medium # 334 #  #  # 
200000004010504020000060900007002030100070009090300000802010000030805040400000006 # 23 # 01 # 2019 # 04652 # 2019-01-23 # 81 # 2019-01-23-TG-TGH-04652 # TG # TGH # Telegraph # Medium # 334 #  #  # 
040080790030090042900000000000872060000000000020453000000000006590010024071020080 # 08 # 01 # 2015 # 03176 # 2015-01-08 # 81 # 2015-01-08-TG-TGH-03176 # TG # TGH # Telegraph # Medium # 336 #  #  # 
002307800054080070007000000000203060500000007030806000000000700010090645005401300 # 21 # 11 # 2020 # 05320 # 2020-11-21 # 81 # 2020-11-21-TG-TGH-05320 # TG # TGH # Telegraph # Medium # 336 #  #  # 
010098000004000070005402000100000030003507160950000007000609500040000600000380020 # 31 # 07 # 2008 # 01107 # 2008-07-31 # 81 # 2008-07-31-TG-TGH-01107 # TG # TGH # Telegraph # Medium # 340 #  #  # 
072000309000010000600040020790000000200476005000500032020090006000060000301000980 # 15 # 10 # 2009 # 01485 # 2009-10-15 # 81 # 2009-10-15-TG-TGH-01485 # TG # TGH # Telegraph # Medium # 340 #  #  # 
090402050000061002000080040000350700007000390009008000010040000500230000060107020 # 02 # 11 # 2016 # 03840 # 2016-11-02 # 81 # 2016-11-02-TG-TGH-03840 # TG # TGH # Telegraph # Medium # 340 #  #  # 
030000060607020300298000000050030000000107000100060040009000284002040109080000070 # 19 # 04 # 2017 # 04008 # 2017-04-19 # 81 # 2017-04-19-TG-TGH-04008 # TG # TGH # Telegraph # Medium # 340 #  #  # 
850093040090000050700010000620030004000804000900070000000080001060000070070120068 # 01 # 12 # 2018 # 04599 # 2018-12-01 # 81 # 2018-12-01-TG-TGH-04599 # TG # TGH # Telegraph # Medium # 340 #  #  # 
100906007900000000073504000009800000006000300000002850200608590000000003500307001 # 25 # 05 # 2022 # 05870 # 2022-05-25 # 81 # 2022-05-25-TG-TGH-05870 # TG # TGH # Telegraph # Medium # 340 #  #  # 
002000940000000000001780000700640008500070003000019000000127600000000000096000150 # 22 # 10 # 2009 # 01491 # 2009-10-22 # 81 # 2009-10-22-TG-TGH-01491 # TG # TGH # Telegraph # Medium # 342 #  #  # 
304005000700000000000961000002070600080000230006000500000194060000000000800500301 # 23 # 02 # 2012 # 02223 # 2012-02-23 # 81 # 2012-02-23-TG-TGH-02223 # TG # TGH # Telegraph # Medium # 342 #  #  # 
087500000103009500290030008020000080000207000040000090800040036009600704000001850 # 13 # 12 # 2017 # 04246 # 2017-12-13 # 81 # 2017-12-13-TG-TGH-04246 # TG # TGH # Telegraph # Medium # 342 #  #  # 
092000000000109000046070080010080000204907308000040005080020010000603000000000670 # 01 # 12 # 2011 # 02151 # 2011-12-01 # 81 # 2011-12-01-TG-TGH-02151 # TG # TGH # Telegraph # Medium # 344 #  #  # 
000040000903000600245000070000007000007608200000900006070000413106000908020030000 # 16 # 01 # 2020 # 05010 # 2020-01-16 # 81 # 2020-01-16-TG-TGH-05010 # TG # TGH # Telegraph # Medium # 344 #  #  # 
040001020800009503005000010038020100000060000006080350020000900301200004080400070 # 26 # 09 # 2012 # 02408 # 2012-09-26 # 81 # 2012-09-26-TG-TGH-02408 # TG # TGH # Telegraph # Medium # 346 #  #  # 
020060070107005000069000830000609000203000906000504000082000640000400700070010080 # 10 # 01 # 2013 # 02499 # 2013-01-10 # 81 # 2013-01-10-TG-TGH-02499 # TG # TGH # Telegraph # Medium # 346 #  #  # 
402500806090200050500000000900003002040090070700600009000000008060001030803004701 # 21 # 10 # 2015 # 03462 # 2015-10-21 # 81 # 2015-10-21-TG-TGH-03462 # TG # TGH # Telegraph # Medium # 346 #  #  # 
000008090024970080009056200070000000980000024000000030007520800010049060090800000 # 24 # 04 # 2019 # 04743 # 2019-04-24 # 81 # 2019-04-24-TG-TGH-04743 # TG # TGH # Telegraph # Medium # 346 #  #  # 
059400000000500000732090000006000904410060057503000100000020531000003000000004260 # 10 # 08 # 2022 # 05947 # 2022-08-10 # 81 # 2022-08-10-TG-TGH-05947 # TG # TGH # Telegraph # Medium # 346 #  #  # 
070010090000600008900030010000006054000003000162800000080070009400005000020000570 # 20 # 10 # 2010 # 01802 # 2010-10-20 # 81 # 2010-10-20-TG-TGH-01802 # TG # TGH # Telegraph # Medium # 348 #  #  # 
040600180600000400080000030006702000300000004000805200050000010009000008007901060 # 07 # 11 # 2013 # 02757 # 2013-11-07 # 81 # 2013-11-07-TG-TGH-02757 # TG # TGH # Telegraph # Medium # 348 #  #  # 
005027000300900207000000000008305060070000080030400900000500000104006005000290700 # 16 # 07 # 2014 # 03000 # 2014-07-16 # 81 # 2014-07-16-TG-TGH-03000 # TG # TGH # Telegraph # Medium # 348 #  #  # 
000070300090580010000000002009600104050000060007200890700000000060053040004010000 # 20 # 10 # 2016 # 03827 # 2016-10-20 # 81 # 2016-10-20-TG-TGH-03827 # TG # TGH # Telegraph # Medium # 348 #  #  # 
020000090400307000080060000107840000008070900000205700000010040000708006030000050 # 15 # 03 # 2018 # 04338 # 2018-03-15 # 81 # 2018-03-15-TG-TGH-04338 # TG # TGH # Telegraph # Medium # 348 #  #  # 
360900020070000050900000000001400000007003800000056100000000076050000090820005013 # 26 # 12 # 2019 # 04989 # 2019-12-26 # 81 # 2019-12-26-TG-TGH-04989 # TG # TGH # Telegraph # Medium # 348 #  #  # 
000048000002905007050003080091000420000401000070000130020000070900804600000560000 # 18 # 04 # 2015 # 03276 # 2015-04-18 # 81 # 2015-04-18-TG-TGH-03276 # TG # TGH # Telegraph # Medium # 350 #  #  # 
000000000700103800098000020010020048006040500540030010070000290009308005000010000 # 07 # 04 # 2018 # 04361 # 2018-04-07 # 81 # 2018-04-07-TG-TGH-04361 # TG # TGH # Telegraph # Medium # 350 #  #  # 
030901020000080009080000700070109000800307002004008060005000080100020000020405030 # 26 # 01 # 2019 # 04655 # 2019-01-26 # 81 # 2019-01-26-TG-TGH-04655 # TG # TGH # Telegraph # Medium # 350 #  #  # 
000900000805040009900300120020850000030020040000071050058000007400060302000008000 # 27 # 11 # 2019 # 04960 # 2019-11-27 # 81 # 2019-11-27-TG-TGH-04960 # TG # TGH # Telegraph # Medium # 350 #  #  # 
003004001020000790000003000807020400009706200000010357000500000065000070300600100 # 06 # 01 # 2021 # 05366 # 2021-01-06 # 81 # 2021-01-06-TG-TGH-05366 # TG # TGH # Telegraph # Medium # 350 #  #  # 
540000891006001050000090000002000740000500000068020500000060000080700100271000069 # 13 # 03 # 2021 # 05432 # 2021-03-13 # 81 # 2021-03-13-TG-TGH-05432 # TG # TGH # Telegraph # Medium # 350 #  #  # 
000641000002000900100000005200907080000000000017305002000000009008000400050018300 # 20 # 06 # 2013 # 02637 # 2013-06-20 # 81 # 2013-06-20-TG-TGH-02637 # TG # TGH # Telegraph # Medium # 352 #  #  # 
056102000000000050003060100480000006000000502500000070001070800060000040000908300 # 02 # 01 # 2016 # 03535 # 2016-01-02 # 81 # 2016-01-02-TG-TGH-03535 # TG # TGH # Telegraph # Medium # 352 #  #  # 
400100006106008500000090700830040000902000304000020089009030000005800907600005002 # 26 # 07 # 2018 # 04471 # 2018-07-26 # 81 # 2018-07-26-TG-TGH-04471 # TG # TGH # Telegraph # Medium # 352 #  #  # 
001590003040000070600000008500006000300000001000300005100000002060000090203910800 # 25 # 08 # 2018 # 04501 # 2018-08-25 # 81 # 2018-08-25-TG-TGH-04501 # TG # TGH # Telegraph # Medium # 352 #  #  # 
004030600000007009205040000060002010108309406030500090000090104300700000001020700 # 02 # 01 # 2020 # 04996 # 2020-01-02 # 81 # 2020-01-02-TG-TGH-04996 # TG # TGH # Telegraph # Medium # 352 #  #  # 
000004900800090070060100003610300008009020040000005600001070000070002400400001080 # 27 # 10 # 2022 # 005 # 2022-10-27 # 81 # 2022-10-27-SC--005 # SC #  # Cracking The Cryptic # Easy # 354 # 0:16:40 #  # FH NS HS
080600020001098700007030600000700008040000050805004000003060200000310000050002010 # 11 # 07 # 2013 # 02655 # 2013-07-11 # 81 # 2013-07-11-TG-TGH-02655 # TG # TGH # Telegraph # Medium # 354 #  #  # 
000318000000000000004900072302001709040000080009600203460000500020000000000859000 # 18 # 06 # 2014 # 02972 # 2014-06-18 # 81 # 2014-06-18-TG-TGH-02972 # TG # TGH # Telegraph # Medium # 354 #  #  # 
000090600600000701504800900000013000900000018000240000009007006301000007002030005 # 31 # 07 # 2014 # 03015 # 2014-07-31 # 81 # 2014-07-31-TG-TGH-03015 # TG # TGH # Telegraph # Medium # 354 #  #  # 
000001900000080000020047803045000007800000001700000360507129030000030000000500600 # 28 # 01 # 2017 # 03927 # 2017-01-28 # 81 # 2017-01-28-TG-TGH-03927 # TG # TGH # Telegraph # Medium # 354 #  #  # 
003200100500603004001050090000006000020000070000940001060030400300104002008000700 # 27 # 06 # 2020 # 05173 # 2020-06-27 # 81 # 2020-06-27-TG-TGH-05173 # TG # TGH # Telegraph # Medium # 354 #  #  # 
940000010000074300206000000000802700800000000005309000700000109009680000160000085 # 17 # 09 # 2020 # 05255 # 2020-09-17 # 81 # 2020-09-17-TG-TGH-05255 # TG # TGH # Telegraph # Medium # 354 #  #  # 
000000000060308005000604012012000039004205600300000050690102000000803070000000000 # 25 # 12 # 2021 # 05719 # 2021-12-25 # 81 # 2021-12-25-TG-TGH-05719 # TG # TGH # Telegraph # Medium # 354 #  #  # 
080109060500006000107020005800400709000000000709001008600000903000000001050204000 # 09 # 04 # 2022 # 05824 # 2022-04-09 # 81 # 2022-04-09-TG-TGH-05824 # TG # TGH # Telegraph # Medium # 354 #  #  # 
604008000020000000390100025000400200001962500007003000510007092000000060000200803 # 12 # 03 # 2009 # 01309 # 2009-03-12 # 81 # 2009-03-12-TG-TGH-01309 # TG # TGH # Telegraph # Hard # 356 #  #  # 
200600000005008000003509100030015060400000008090460010009301600000900201000006005 # 23 # 08 # 2014 # 03038 # 2014-08-23 # 81 # 2014-08-23-TG-TGH-03038 # TG # TGH # Telegraph # Medium # 356 #  #  # 
900000165001000000000702008090007000800090031000040080000905000000000200346000000 # 07 # 12 # 2017 # 04240 # 2017-12-07 # 81 # 2017-12-07-TG-TGH-04240 # TG # TGH # Telegraph # Medium # 356 #  #  # 
000415000003070040080000000020504000004000600000209007010000090050040830000856000 # 30 # 12 # 2009 # 01550 # 2009-12-30 # 81 # 2009-12-30-TG-TGH-01550 # TG # TGH # Telegraph # Medium # 358 #  #  # 
600000000020050060030100900000080700900507000001069200805001030060090040000000008 # 06 # 03 # 2019 # 04694 # 2019-03-06 # 81 # 2019-03-06-TG-TGH-04694 # TG # TGH # Telegraph # Medium # 358 #  #  # 
001005200920080000400006007009000740000051000082000900500600008000070016007500400 # 23 # 09 # 2009 # 01466 # 2009-09-23 # 81 # 2009-09-23-TG-TGH-01466 # TG # TGH # Telegraph # Medium # 360 #  #  # 
020003010000050200003000509500060008018000390400080007107000900050020000080900060 # 10 # 03 # 2011 # 01923 # 2011-03-10 # 81 # 2011-03-10-TG-TGH-01923 # TG # TGH # Telegraph # Medium # 360 #  #  # 
070000003000604000090730150007380610000000000086050300068009020000805000500000070 # 10 # 08 # 2019 # 04851 # 2019-08-10 # 81 # 2019-08-10-TG-TGH-04851 # TG # TGH # Telegraph # Medium # 360 #  #  # 
601094008000280031000000600430010060000000000060000029004000000590061000200050803 # 16 # 11 # 2019 # 04949 # 2019-11-16 # 81 # 2019-11-16-TG-TGH-04949 # TG # TGH # Telegraph # Medium # 360 #  #  # 
030702000000090003000301004150000096009000800070000021200608000500040000010209060 # 01 # 08 # 2020 # 05208 # 2020-08-01 # 81 # 2020-08-01-TG-TGH-05208 # TG # TGH # Telegraph # Medium # 360 #  #  # 
000500000800000065070010000500040018060201050310070009000050090680002001000308000 # 03 # 03 # 2021 # 05422 # 2021-03-03 # 81 # 2021-03-03-TG-TGH-05422 # TG # TGH # Telegraph # Medium # 360 #  #  # 
002000460060804001800020003020600030004000500080001070400090005600507090059000100 # 26 # 10 # 2022 #  # 2022-10-26 # 81 # 2022-10-26-GMP-2 # GMP # 2 # Grant Fikes # Easy # 362 # 0:11:50 #  # FH NS HS
000010003006030080005007400009840070003902500040056200002400800030080900900020000 # 02 # 07 # 2008 # 01082 # 2008-07-02 # 81 # 2008-07-02-TG-TGH-01082 # TG # TGH # Telegraph # Medium # 362 #  #  # 
002800000036410000470500006860000009007000300200000071300004018000023590000001200 # 18 # 03 # 2010 # 01617 # 2010-03-18 # 81 # 2010-03-18-TG-TGH-01617 # TG # TGH # Telegraph # Medium # 362 #  #  # 
040050000005104300903008000300000126400000003156000009000600802002809600000020090 # 02 # 02 # 2012 # 02205 # 2012-02-02 # 81 # 2012-02-02-TG-TGH-02205 # TG # TGH # Telegraph # Medium # 362 #  #  # 
004020103070050900009300670001000008700000004800000500097002300006070020102060400 # 20 # 03 # 2014 # 02882 # 2014-03-20 # 81 # 2014-03-20-TG-TGH-02882 # TG # TGH # Telegraph # Medium # 362 #  #  # 
080000436009000008000002000000001063002000000860340050001400000700000200506000070 # 22 # 07 # 2017 # 04102 # 2017-07-22 # 81 # 2017-07-22-TG-TGH-04102 # TG # TGH # Telegraph # Medium # 362 #  #  # 
000078020050402010600000005020085400080000050005390070200000009010904030090850000 # 12 # 12 # 2020 # 05341 # 2020-12-12 # 81 # 2020-12-12-TG-TGH-05341 # TG # TGH # Telegraph # Medium # 362 #  #  # 
346800205200000000050700000020503008400000003700904010000008020000000001902006584 # 17 # 02 # 2021 # 05408 # 2021-02-17 # 81 # 2021-02-17-TG-TGH-05408 # TG # TGH # Telegraph # Medium # 362 #  #  # 
000005307000009010017300040036000250000201000092000760060007480040600000501900000 # 04 # 12 # 2021 # 05698 # 2021-12-04 # 81 # 2021-12-04-TG-TGH-05698 # TG # TGH # Telegraph # Medium # 362 #  #  # 
006000200000300000080019576000000008741803659800000000359460020000005000008000900 # 20 # 08 # 2022 # 05957 # 2022-08-20 # 81 # 2022-08-20-TG-TGH-05957 # TG # TGH # Telegraph # Medium # 362 #  #  # 
070000031000090000340060057090800070005601200000000000680020013000010000920000080 # 09 # 07 # 2014 # 02993 # 2014-07-09 # 81 # 2014-07-09-TG-TGH-02993 # TG # TGH # Telegraph # Medium # 364 #  #  # 
230000067080900020000040801003020000060500070000080500908070000020009000300000014 # 28 # 10 # 2020 # 05296 # 2020-10-28 # 81 # 2020-10-28-TG-TGH-05296 # TG # TGH # Telegraph # Medium # 364 #  #  # 
050620003000004010006000200009007050670000028080300400000000900060930000200085000 # 07 # 05 # 2022 # 05852 # 2022-05-07 # 81 # 2022-05-07-TG-TGH-05852 # TG # TGH # Telegraph # Medium # 364 #  #  # 
600805037000900050700000000007603000401080906000701400000000008080009000260308005 # 16 # 06 # 2010 # 01694 # 2010-06-16 # 81 # 2010-06-16-TG-TGH-01694 # TG # TGH # Telegraph # Medium # 366 #  #  # 
982364010040200000000090000700000302000803000604000008000080000000007050060532049 # 21 # 09 # 2011 # 02090 # 2011-09-21 # 81 # 2011-09-21-TG-TGH-02090 # TG # TGH # Telegraph # Medium # 366 #  #  # 
000090260800702000040000090030501000600849001000206070070000010000607003015080000 # 05 # 01 # 2012 # 02181 # 2012-01-05 # 81 # 2012-01-05-TG-TGH-02181 # TG # TGH # Telegraph # Medium # 366 #  #  # 
000000000007010640090753002004000005010948020800000400300495060078060200000000000 # 15 # 05 # 2013 # 02606 # 2013-05-15 # 81 # 2013-05-15-TG-TGH-02606 # TG # TGH # Telegraph # Medium # 366 #  #  # 
000800000390400000050169002700000003201070805800000006900246030000003067000001000 # 25 # 12 # 2013 # 02798 # 2013-12-25 # 81 # 2013-12-25-TG-TGH-02798 # TG # TGH # Telegraph # Medium # 366 #  #  # 
000000070340008009061970080003000000002167500000000800080035120100400068030000000 # 26 # 12 # 2013 # 02799 # 2013-12-26 # 81 # 2013-12-26-TG-TGH-02799 # TG # TGH # Telegraph # Medium # 366 #  #  # 
000408000003000006508109400000073040870000061090610000005206800600000200000304000 # 22 # 03 # 2014 # 02884 # 2014-03-22 # 81 # 2014-03-22-TG-TGH-02884 # TG # TGH # Telegraph # Medium # 366 #  #  # 
045090300010060000900200070070000001200189007100000060020008005000040080006010430 # 07 # 11 # 2015 # 03479 # 2015-11-07 # 81 # 2015-11-07-TG-TGH-03479 # TG # TGH # Telegraph # Medium # 366 #  #  # 
000000050006000320400130007000006000020080090000500000700049005059701280080000000 # 18 # 01 # 2014 # 02821 # 2014-01-18 # 81 # 2014-01-18-TG-TGH-02821 # TG # TGH # Telegraph # Medium # 368 #  #  # 
000800000000570200000032860090000010381000504070000020007400000003021000000009005 # 03 # 10 # 2015 # 03444 # 2015-10-03 # 81 # 2015-10-03-TG-TGH-03444 # TG # TGH # Telegraph # Medium # 368 #  #  # 
006312000002005400090700060800500600000000003007001000020004010003000500000607200 # 06 # 09 # 2018 # 04513 # 2018-09-06 # 81 # 2018-09-06-TG-TGH-04513 # TG # TGH # Telegraph # Medium # 368 #  #  # 
051400900000900210000070600900060000082000130000030007007050000068002300000003780 # 29 # 07 # 2010 # 01731 # 2010-07-29 # 81 # 2010-07-29-TG-TGH-01731 # TG # TGH # Telegraph # Medium # 370 #  #  # 
000040000703200501010080007004000160020000030069000400300070020906025004000010000 # 28 # 03 # 2012 # 02252 # 2012-03-28 # 81 # 2012-03-28-TG-TGH-02252 # TG # TGH # Telegraph # Medium # 370 #  #  # 
014607900005400020000900000530000009600109000400000006000006000050002800006705210 # 21 # 11 # 2013 # 02769 # 2013-11-21 # 81 # 2013-11-21-TG-TGH-02769 # TG # TGH # Telegraph # Medium # 370 #  #  # 
900040605060000080002801700008125000000000000000396500007402100020000050300010000 # 03 # 06 # 2017 # 04053 # 2017-06-03 # 81 # 2017-06-03-TG-TGH-04053 # TG # TGH # Telegraph # Medium # 370 #  #  # 
300000006560030020009000300020007000406201705080500090001000800040060007800000003 # 19 # 06 # 2019 # 04799 # 2019-06-19 # 81 # 2019-06-19-TG-TGH-04799 # TG # TGH # Telegraph # Medium # 370 #  #  # 
740060000029000750100700008000008004006000300900200000500007100091000570000010069 # 23 # 01 # 2020 # 05017 # 2020-01-23 # 81 # 2020-01-23-TG-TGH-05017 # TG # TGH # Telegraph # Medium # 370 #  #  # 
007902010000000000900510300070200003001706400300001090005089006000050000040607000 # 04 # 07 # 2020 # 05180 # 2020-07-04 # 81 # 2020-07-04-TG-TGH-05180 # TG # TGH # Telegraph # Medium # 370 #  #  # 
025107000800002000960000004500080002003705400000010005100000093000600000000309810 # 31 # 08 # 2022 # 05968 # 2022-08-31 # 81 # 2022-08-31-TG-TGH-05968 # TG # TGH # Telegraph # Medium # 370 #  #  # 
001000008000060050060000013020003000810400009000700540000000300090040000000971060 # 26 # 10 # 2022 #  # 2022-10-26 # 81 # 2022-10-26-NYT-HRD # NYT # HRD # New York Times # Medium # 372 # 0:24:42 #  # FH NS HS LP
000004000009020810000506000027900080030000090090007600000605000004000500500100002 # 27 # 03 # 2013 # 02564 # 2013-03-27 # 81 # 2013-03-27-TG-TGH-02564 # TG # TGH # Telegraph # Medium # 372 #  #  # 
000053000008700050002004306020040500000000000060390070700200400010000600000980000 # 23 # 04 # 2020 # 05108 # 2020-04-23 # 81 # 2020-04-23-TG-TGH-05108 # TG # TGH # Telegraph # Medium # 372 #  #  # 
680003049009280063030000000020500000004000800000007020000000030190048500540600082 # 14 # 07 # 2021 # 05555 # 2021-07-14 # 81 # 2021-07-14-TG-TGH-05555 # TG # TGH # Telegraph # Medium # 372 #  #  # 
204005030079000500000690001307200000050006000090008400783000000000000086000012000 # 17 # 10 # 2022 #  # 2022-10-17 # 81 # 2022-10-17-EP-EXP # EP # EXP # El Pais # Medium # 374 # 0:18:44 #  # FH NS HS LP
